Tiername;Local ID;Geschlecht;Geburt/Ankunft;Gehege;Transponder;Ringe
-;Bird1;0.1;Apr 21, 2003;Papiliorama;Nr: 00-0632-9BAD;L: hellblau TaI
-;Bird2;1.0;Jul 15, 2003;Papiliorama;Nr: 968-00-00018-39523;R: braun TaD ZBCN/02/V08
-;Bird3;0.1;Jun 06, 2005;Papiliorama;Nr: 968-00-00039-15349;R: schwarz TaD
-;Bird4;0.1;Apr 05, 2006;Papiliorama;Nr: 968-00-0037-96926;L: schwarz TaI
-;Bird5;0.1;Aug 21, 2017;Papiliorama;-;L: gelb, R: braun
-;Bird6;0.1;Jul 13, 2018;Papiliorama;-;L: schwarz, R: gelb
-;Bird7;0.1;Aug 05, 2019;Papiliorama;-;L: braun, R: hellblau
-;Bird8;0.1;Aug 17, 2019;Papiliorama;-;L: weiss, R: gelb
-;Bird9;0.1;Sep 05, 2019;Papiliorama;-;L: pink, R: gelb
-;Bird10;0.1;Jun 18, 2020;Papiliorama;-;L: dunkelgrün, R: weiss
-;Bird11;1.0;May 13, 2021;Papiliorama;-;L: dunkelblau, R: gelb
-;Bird12;1.0;May 10, 2022;Papiliorama;-;L: rot, R: grün
-;Bird13;1.0;Jun 01, 2022;Papiliorama;-;L: gelb, R: rot
-;Bird14;0.1;May 01, 2023;Papiliorama;-;L: rot, R: hellblau
-;Bird15;1.0;Jul 09, 2023;Papiliorama;-;L: hellblau, R: dunkelgrün
-;Bird16;1.0;Sep 01, 2023;Papiliorama;-;L: rosa, R: braun
-;Bird17;1.0;Mar 28, 2024;Papiliorama;-;L: gelb, R: hellgrün
-;Bird18;1.0;Apr 03, 2024;Papiliorama;-;L: schwarz, R: grün
-;Bird19;0.1;May 11, 2024;Papiliorama;-;L: schwarz, R: rot
-;Bird20;1.0;May 12, 2024;Papiliorama;-;L: rosa, R: grün
-;Bird21;0.0.1;Apr 27, 2025;Papiliorama;-;L: weiss, R: weiss
-;Bird22;0.0.1;Jun 18, 2025;Papiliorama;-;L: gelb, R: gelb
-;Bird23;0.0.1;Jul 25, 2025;Papiliorama;-;L: rot, R: rot
