"English";"Deutsch";"Franzözisch";"H";"C";"L"
"white";"weiss";"blanc";"94";"0";"100"
"aliceblue";"aliceblau";"bleu alice";"233";"8";"97"
"antiquewhite";"antikweiss";"blanc antique";"59";"20";"94"
"aquamarine";"aquamarin";"aigue-marine";"158";"60";"92"
"azure";"azurblau";"azur";"192";"8";"99"
"beige";"beige";"beige";"86";"19";"96"
"bisque";"biskuit";"bisque";"55";"32";"92"
"black";"schwarz";"noir";"180";"0";"0"
"blanchedalmond";"gebleichte mandel";"amande blanchie";"61";"28";"94"
"blue";"blau";"bleu";"266";"131";"32"
"blueviolet";"blauviolett";"bleu-violet";"279";"115";"42"
"brown";"braun";"marron";"12";"94";"38"
"burlywood";"burlywood";"bois de burl";"54";"48";"77"
"cadetblue";"kadettenblau";"bleu cadet";"195";"30";"61"
"chartreuse";"chartreuse";"chartreuse";"120";"123";"90"
"chocolate";"schokolade";"chocolat";"29";"99";"56"
"coral";"koralle";"corail";"24";"110";"67"
"cornflowerblue";"kornblumenblau";"bleu barbeau";"254";"83";"62"
"cornsilk";"maisflaum";"soie de mais";"75";"22";"97"
"cyan";"cyan";"cyan";"192";"72";"91"
"darkblue";"dunkelblau";"bleu fonce";"266";"60";"15"
"darkcyan";"dunkelcyan";"cyan fonce";"192";"41";"52"
"darkgoldenrod";"dunkelgoldgelb";"jaune d'or fonce";"55";"73";"59"
"darkgray";"dunkelgrau";"gris fonce";"94";"0";"69"
"darkgreen";"dunkelgrau";"vert fonce";"128";"56";"36"
"darkgrey";"dunkelgrün";"gris fonce";"94";"0";"69"
"darkkhaki";"dunkelgrau";"kaki fonce";"82";"52";"73"
"darkmagenta";"dunkelkhaki";"magenta fonce";"308";"74";"33"
"darkolivegreen";"dunkelmagenta";"vert olive fonce";"106";"38";"42"
"darkorange";"dunkelolivgrün";"orange fonce";"34";"116";"69"
"darkorchid";"dunkelorange";"orchidee foncee";"288";"99";"43"
"darkred";"dunkelorchidee";"rouge fonce";"12";"94";"28"
"darksalmon";"dunkelrot";"saumon fonce";"27";"67";"70"
"darkseagreen";"dunkellachs";"vert d'eau fonce";"128";"37";"72"
"darkslateblue";"dunkelmeeresgrün";"bleu ardoise fonce";"269";"58";"31"
"darkslategray";"dunkelschieferblau";"gris ardoise fonce";"192";"14";"31"
"darkslategrey";"dunkelschiefergrau";"gris ardoise fonce";"192";"14";"31"
"darkturquoise";"dunkelgrau";"turquoise fonce";"195";"60";"75"
"darkviolet";"dunkel türkis";"violet fonce";"285";"110";"40"
"deeppink";"dunkelviolett";"rose profond";"350";"134";"56"
"deepskyblue";"tiefrosa";"bleu ciel profond";"234";"83";"73"
"dimgray";"tiefhimmelblau";"gris terne";"94";"0";"44"
"dimgrey";"dunkelgrau";"gris terne";"94";"0";"44"
"dodgerblue";"dodgerblau";"bleu dodger";"252";"107";"59"
"firebrick";"ziegelrot";"brique";"12";"110";"39"
"floralwhite";"blumenweiss";"blanc floral";"67";"9";"98"
"forestgreen";"waldgrün";"vert foret";"128";"70";"51"
"gainsboro";"gainsborough";"gainsboro";"94";"0";"88"
"ghostwhite";"geisterweiss";"blanc fantome";"266";"5";"98"
"gold";"gold";"or";"69";"99";"87"
"goldenrod";"goldgelb";"jaune d'or";"58";"83";"71"
"gray";"grau";"gris";"94";"0";"77"
"green";"grün";"vert";"128";"136";"88"
"greenyellow";"grüngelb";"vert-jaune";"112";"111";"92"
"grey";"grau";"gris";"94";"0";"77"
"honeydew";"honigtau";"miel";"128";"12";"99"
"hotpink";"pink";"rose vif";"343";"95";"65"
"indianred";"indischrot";"rouge indien";"12";"85";"53"
"ivory";"elfenbein";"ivoire";"86";"11";"100"
"khaki";"khaki";"kaki";"80";"62";"90"
"lavender";"lavendel";"lavande";"266";"16";"92"
"lavenderblush";"lavendelrosa";"rose lavande";"347";"9";"96"
"lawngreen";"rasengrün";"vert pelouse";"120";"122";"89"
"lemonchiffon";"zitronenchiffon";"chiffon citron";"81";"34";"98"
"lightblue";"hellblau";"bleu clair";"216";"28";"84"
"lightcoral";"hellkoralle";"corail clair";"12";"82";"66"
"lightcyan";"hellcyan";"cyan clair";"192";"17";"98"
"lightgoldenrod";"hellgoldgelb";"jaune d'or clair";"76";"63";"88"
